Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
South Africa,ZAF,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011065934,0.015437339,0.018837426,0.032374249,0.100985905,0.838635731,1.292195622,2.259592837,4.282380047,7.668404141,11.75421936,18.63031547,23.76536798,29.77698447,36.15592287,44.12549096,71.05665966,82.06341804,86.6049709,91.24205436,93.33587369,100.4770987,126.8331905,
Denmark,DNK,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0.140550991,0.314514677,0.598184802,0.901499716,1.12636024,1.513273586,1.981199891,2.413039677,2.883077607,3.413030127,4.080846242,6.888143207,9.660267483,15.71195889,25.05306636,27.36136996,36.4382811,49.4049606,62.99375166,73.93809436,83.37670913,88.53396805,95.67859444,100.5491707,107.0831934,115.3382714,119.2762572,123.6893909,125.7805656,126.4581629,
El Salvador,SLV,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029226115,0.085949059,0.235026296,0.401802465,0.68782825,2.332625678,8.650936696,12.51834712,14.37777603,14.84274243,19.135984,30.3971177,39.86030606,63.40635843,100.5984886,113.3951848,122.8202187,124.3394914,125.845224,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79575565,67.84899567,82.00998036,104.384031,118.6678017,122.1336958,122.0803535,125.392874,
Malta,MLT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613802479,0.932008638,1.39630217,1.956620421,2.791430404,3.211081055,4.518785489,5.726827458,9.495900986,28.79673897,59.89203144,68.82862143,71.64064063,75.16693968,79.15562125,84.35526559,89.31722119,93.1609437,101.6528587,109.3787739,124.8634096,
Brazil,BRA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445706,0.004403639,0.020700973,0.115934035,0.36010928,0.794283348,1.520089834,2.726687053,4.349348021,8.743180198,13.29403443,16.25182871,19.45513659,25.53128953,35.67944477,46.3528917,53.16001917,63.7414822,78.64616123,90.01936334,104.1024405,123.1758591,
Qatar,QAT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0.804480265,0.840087301,0.867055575,0.872776851,2.329306076,3.683699297,5.614903341,8.221836013,11.98116714,14.8042536,20.45089575,29.26189486,42.72901904,57.61820964,68.56404147,87.30514284,94.01401972,107.3005079,102.3943097,121.9684997,124.3133785,123.114413,
St. Lucia,LCA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.360744897,0.679962194,0.939458603,1.059048577,1.240435589,1.481920569,1.591262062,1.699620418,8.918257099,61.09037055,61.72424541,63.92739374,63.23277566,87.08891956,102.5910775,110.0198309,113.7404098,122.9976597,
Ukraine,UKR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126099,0.009731899,0.027385619,0.059086146,0.113620929,0.231648035,0.438695732,1.674154222,4.591701908,7.687940765,13.63974788,29.05325725,63.96203796,105.3323593,119.3557137,121.0688373,120.1855036,118.6392243,122.9622918,
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338670505,0.495441507,0.75097715,1.293259224,2.583580299,8.354264819,19.09285857,29.70175562,37.24123456,48.87680093,73.15102878,89.7135899,100.9358989,104.1916964,111.6008596,117.4489429,124.4054345,128.6382352,126.6439604,124.2537305,122.8162407,121.6578152,
